GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
40.3589284849,115.9949975655,40.3601752024,116.0011612818,40.366137,116.00773,北京市延庆县S216(京藏高速辅路),-,八达岭站
30.665211841,110.3527117324,30.6628586517,110.3577972007,30.668631,110.364372,湖北省恩施土家族苗族自治州巴东县,-,巴东站
0,0,0,0,0,0,-,-,柏果站
44.3808495083,125.6228320303,44.3827434934,125.629038662,44.389122,125.635402,吉林省长春市德惠市,-,布海站
32.8057960406,110.1098099602,32.8039159164,110.1151100052,32.809685,110.121691,陕西省安康市白河县东坡路,-,白河东站
0,0,0,0,0,0,-,-,贲红站
0,0,0,0,0,0,-,-,宝华山站
0,0,0,0,0,0,-,-,白河县站
0,0,0,0,0,0,-,-,白芨沟站
24.9969785217,102.6189809715,24.9938571976,102.6202201521,24.999998,102.62671,云南省昆明市西山区G320(碧鸡路),-,碧鸡关站
22.9181902924,113.2583233162,22.9154283041,113.26363409,22.921673,113.270089,广东省佛山市顺德区工业北路,-,北滘站
22.9449868079,113.2484906791,22.9422353114,113.2538014529,22.948334,113.260308,广东省佛山市顺德区S43(广珠西线高速),-,碧江站
0,0,0,0,0,0,-,-,白鸡坡站
0,0,0,0,0,0,-,-,笔架山站
0,0,0,0,0,0,-,-,八角台站
0,0,0,0,0,0,-,-,保康站
0,0,0,0,0,0,-,-,白奎堡站
0,0,0,0,0,0,-,-,白狼站
0,0,0,0,0,0,-,-,百浪站
0,0,0,0,0,0,-,-,博乐站
0,0,0,0,0,0,-,-,宝拉格站
43.5170843009,118.6751885982,43.5193015158,118.6816419931,43.525649,118.688025,内蒙古自治区赤峰市巴林右旗巴林路,-,巴林站
0,0,0,0,0,0,-,-,宝林站
0,0,0,0,0,0,-,-,北流站
45.7539214221,130.5525075585,45.7559951384,130.5598138959,45.762354,130.566183,黑龙江省七台河市勃利县站前路84,-,勃利站
0,0,0,0,0,0,-,-,布列开站
44.028569573,122.7346788535,44.030740961,122.7403919587,44.037015,122.746802,内蒙古自治区通辽市科尔沁左翼中旗X463,-,宝龙山站
0,0,0,0,0,0,-,-,百里峡站
43.2064340115,124.0551242062,43.2090183686,124.0614166685,43.215322,124.067848,辽宁省铁岭市昌图县S105(新梨线),-,八面城站
0,0,0,0,0,0,-,-,班猫箐站
44.9241669425,130.5341858479,44.926240891,130.5413956257,44.93254,130.547779,黑龙江省牡丹江市穆棱市站前大街,-,八面通站
0,0,0,0,0,0,-,-,北马圈子站
0,0,0,0,0,0,-,-,北票南站
0,0,0,0,0,0,-,-,白旗站
0,0,0,0,0,0,-,-,宝泉岭站
0,0,0,0,0,0,-,-,白泉站
0,0,0,0,0,0,-,-,巴山站
0,0,0,0,0,0,-,-,白沙站
0,0,0,0,0,0,-,-,白水江站
0,0,0,0,0,0,-,-,白沙坡站
0,0,0,0,0,0,-,-,白石山站
0,0,0,0,0,0,-,-,白水镇站
40.6050283297,109.8301630007,40.6061728466,109.835902928,40.612075,109.842443,内蒙古自治区包头市昆都仑区阿拉坦汗大街,-,包头站
0,0,0,0,0,0,-,-,东站
22.6301872016,114.0657303143,22.6274985621,114.0708533335,22.633264,114.077406,广东省深圳市龙岗区坂田北路2号,-,坂田站
38.0611152459,116.5809344226,38.0616474375,116.5865080529,38.067318,116.593141,河北省沧州市泊头市胜利东路,-,泊头站
0,0,0,0,0,0,-,-,北屯站
41.3253182849,123.7617376943,41.327425344,123.7676331897,41.333166,123.774245,辽宁省本溪市溪湖区溪湖东路2号,-,本溪湖站
0,0,0,0,0,0,-,-,博兴站
43.1996131052,121.057063285,43.2021196794,121.0629373227,43.208407,121.069367,内蒙古自治区通辽市奈曼旗,-,八仙筒站
41.453576751,113.1779987012,41.4555991879,113.1852567588,41.461645,113.191731,内蒙古自治区乌兰察布市察哈尔右翼后旗迎宾街,-,白音察干站
0,0,0,0,0,0,-,-,背荫河站
0,0,0,0,0,0,-,-,北营站
0,0,0,0,0,0,-,-,巴彦高勒站
0,0,0,0,0,0,-,-,白音他拉站
40.1863907512,122.0889569604,40.1879358793,122.0943428361,40.193587,122.100952,辽宁省营口市鲅鱼圈区G15(沈海高速),-,鲅鱼圈站
36.5344187962,104.1701536653,36.5344619017,104.1729270694,36.540704,104.179341,甘肃省白银市白银区水川路80号,-,白银市站
0,0,0,0,0,0,-,-,白音胡硕站
31.8756271495,106.7616231526,31.87345428,106.7657805766,31.879347,106.772294,四川省巴中市巴州区吴家河大桥,-,巴中站
39.1217413026,116.3701145734,39.1228649948,116.3762246455,39.12899,116.382705,河北省廊坊市霸州市迎宾西道,-,霸州站
0,0,0,0,0,0,-,-,北宅站
29.7387970481,113.8950393095,29.7360535393,113.9004305496,29.742129,113.906895,湖北省咸宁市赤壁市体育馆路,-,赤壁北站
0,0,0,0,0,0,-,-,查布嘎站
0,0,0,0,0,0,-,-,长城站
0,0,0,0,0,0,-,-,长冲站
0,0,0,0,0,0,-,-,承德东站
42.2741742218,118.8961476791,42.2761034083,118.9023113954,42.282385,118.908746,内蒙古自治区赤峰市松山区西站大街,-,赤峰西站
0,0,0,0,0,0,-,-,嵯岗站
0,0,0,0,0,0,-,-,柴岗站
34.2151796621,113.7724965196,34.2138090032,113.7785958629,34.219876,113.785085,河南省许昌市长葛市新华路,-,长葛站
40.669700911,114.4095266638,40.6712633044,114.4161678132,40.676931,114.422781,河北省张家口市怀安县南城墙大街,-,柴沟堡站
33.140573941,107.3180642393,33.1387547322,107.3227902916,33.14454,107.329386,陕西省汉中市城固县G108(汉白路),-,城固站
36.0863596804,103.6565514986,36.0860301818,103.6588957493,36.092211,103.665319,甘肃省兰州市西固区福利东路,-,陈官营站
45.6982705464,126.8304194146,45.7003049086,126.8365241223,45.706664,126.842861,黑龙江省哈尔滨市香坊区X032,-,成高子站
26.8832513575,104.2527046794,26.8797539082,104.2549255485,26.885787,104.261424,贵州省毕节市威宁彝族回族苗族自治县滨海路,-,草海站
0,0,0,0,0,0,-,-,柴河站
24.9173237662,105.5714307825,24.9142344687,105.574568967,24.920273,105.581038,贵州省黔西南布依族苗族自治州册亨县S62(余安高速),-,册亨站
40.8771931135,123.9056308443,40.8787589242,123.9111991102,40.884514,123.917777,辽宁省本溪市本溪满族自治县G304(丹霍线),-,草河口站
39.5203209019,117.1950713671,39.5215540524,117.2014335669,39.527489,117.20797,天津市武清区X533(后崔路),-,崔黄口站
31.6166438439,117.8853654609,31.6144922732,117.8906011329,31.620147,117.897198,安徽省合肥市巢湖市太湖山路,-,巢湖站
0,0,0,0,0,0,-,-,蔡家沟站
0,0,0,0,0,0,-,-,成吉思汗站
0,0,0,0,0,0,-,-,岔江站
34.3229016827,107.5933993051,34.3212980243,107.5979912469,34.327062,107.60457,陕西省宝鸡市岐山县自强路,-,蔡家坡站
36.7106414563,118.8333344502,36.7108607815,118.8389027161,36.716595,118.845473,山东省潍坊市昌乐县新昌路,-,昌乐站
0,0,0,0,0,0,-,-,超梁沟站
0,0,0,0,0,0,-,-,慈利站
39.7030100301,119.1615571459,39.7044009434,119.1678227862,39.71073,119.174186,河北省秦皇岛市昌黎县民生路南段,-,昌黎站
0,0,0,0,0,0,-,-,长岭子站
0,0,0,0,0,0,-,-,晨明站
0,0,0,0,0,0,-,-,长农站
40.2300482259,116.2270917723,40.2313014396,116.2331803868,40.237077,116.239782,北京市昌平区鼓楼北街,-,昌平北站
22.9858225625,114.0012863893,22.9830768183,114.0062913913,22.989424,114.012741,广东省东莞市东莞市口岸大道,-,常平站
0,0,0,0,0,0,-,-,长坡岭站
0,0,0,0,0,0,-,-,辰清站
0,0,0,0,0,0,-,-,蔡山站
45.1168596062,130.0218894909,45.1191197598,130.0293889473,45.124907,130.035989,黑龙江省牡丹江市林口县G201(鹤大线),-,楚山站
0,0,0,0,0,0,-,-,长寿站
36.5971710291,114.1120732758,36.5975156049,114.1184140179,36.603853,114.124795,河北省邯郸市武安市,-,磁山站
0,0,0,0,0,0,-,-,苍石站
0,0,0,0,0,0,-,-,草市站
40.7038876398,111.11937456,40.7053923941,111.12614982,40.711712,111.132553,内蒙古自治区呼和浩特市土默特左旗博彦路,-,察素齐站
0,0,0,0,0,0,-,-,长山屯站
25.8321134543,116.3395833342,25.829216341,116.3443844883,25.834897,116.350997,福建省龙岩市长汀县G319(汀洲大道),-,长汀站
0,0,0,0,0,0,-,-,昌图西站
0,0,0,0,0,0,-,-,春湾站
36.3601650903,114.3668065387,36.3603854104,114.372905882,36.366626,114.379347,河北省邯郸市磁县友谊南大街5号,-,磁县站
0,0,0,0,0,0,-,-,岑溪站
27.8820952958,110.2506287539,27.8787570424,110.2553494418,27.884844,110.261849,湖南省怀化市辰溪县S308,-,辰溪站
0,0,0,0,0,0,-,-,磁西站
30.9929038313,119.8994657972,30.9905587186,119.9040845611,30.996663,119.910581,浙江省湖州市长兴县金陵南路,-,长兴南站
0,0,0,0,0,0,-,-,磁窑站
0,0,0,0,0,0,-,-,朝阳站
0,0,0,0,0,0,-,-,春阳站
36.298800535,120.3604672485,36.2990988446,120.3655956321,36.305464,120.372006,山东省青岛市城阳区兴阳街,-,城阳站
0,0,0,0,0,0,-,-,创业村站
0,0,0,0,0,0,-,-,朝阳川站
0,0,0,0,0,0,-,-,朝阳地站
35.2114082085,114.6542064479,35.2107945908,114.6597425273,35.216479,114.666373,河南省新乡市长垣县博爱路,-,长垣站
0,0,0,0,0,0,-,-,朝阳镇站
32.3097381133,118.3216918153,32.307729601,118.3270830554,32.314089,118.33353,安徽省滁州市琅琊区来安路37号,-,滁州北站
31.8562127515,119.9507328299,31.8540986426,119.9554266957,31.859853,119.962016,江苏省常州市新北区北一路,-,常州北站
32.2000614666,118.315052386,32.1980641378,118.3204328973,32.204422,118.326879,安徽省滁州市全椒县洪武西路,-,滁州站
23.6410867872,116.5798841583,23.6383446057,116.5842293369,23.644003,116.590804,广东省潮州市潮安县新风路,-,潮州站
0,0,0,0,0,0,-,-,常庄站
39.4099945027,117.1321734913,39.4112917728,117.1386268862,39.417357,117.145111,天津市武清区正达道,-,曹子里站
25.695357781,104.1502966453,25.6924526595,104.1525926162,25.698739,104.159035,云南省曲靖市富源县Y148(大响公路),-,车转湾站
25.7391545503,112.9646498434,25.7360716123,112.9699767105,25.741761,112.97658,湖南省郴州市北湖区增湖路,-,郴州西站
38.3062587622,116.7620581472,38.3069281281,116.7679429138,38.313274,116.774362,河北省沧州市沧县贵州大道,-,沧州西站
29.3117295116,115.7625036354,29.3090210955,115.7676588411,29.314936,115.774206,江西省九江市德安县东风大道,-,德安站
0,0,0,0,0,0,-,-,大安站
0,0,0,0,0,0,-,-,大坝站
0,0,0,0,0,0,-,-,大板站
0,0,0,0,0,0,-,-,大巴站
45.5962761327,123.1649126517,45.598427108,123.1713767754,45.604051,123.177999,吉林省白城市镇赉县X102,-,到保站
37.5618567844,107.5725548435,37.5622650191,107.5774418283,37.567951,107.584044,陕西省榆林市定边县,-,定边站
0,0,0,0,0,0,-,-,东边井站
0,0,0,0,0,0,-,-,德伯斯站
0,0,0,0,0,0,-,-,打柴沟站
0,0,0,0,0,0,-,-,德昌站
45.3442062573,130.8256659094,45.3463781044,130.8330741707,45.352216,130.83959,黑龙江省鸡西市滴道区S309,-,滴道站
0,0,0,0,0,0,-,-,大磴沟站
0,0,0,0,0,0,-,-,刀尔登站
0,0,0,0,0,0,-,-,得耳布尔站
0,0,0,0,0,0,-,-,东方站
0,0,0,0,0,0,-,-,丹凤站
0,0,0,0,0,0,-,-,东丰站
0,0,0,0,0,0,-,-,都格站
41.8549061928,123.8649572822,41.8570200011,123.8707025739,41.862906,123.877214,辽宁省抚顺市新抚区千金路56号,-,大官屯站
0,0,0,0,0,0,-,-,大关站
0,0,0,0,0,0,-,-,东光站
0,0,0,0,0,0,-,-,东海站
39.8524620464,116.1073440939,39.8538540501,116.1136580139,39.859635,116.120247,北京市丰台区大灰厂路88号-10-2号楼-1025号,-,大灰厂站
0,0,0,0,0,0,-,-,大红旗站
0,0,0,0,0,0,-,-,大禾塘站
34.5182336871,118.762697955,34.5171198657,118.7681589326,34.523032,118.774675,江苏省连云港市东海县站前街39号,-,东海县站
44.5439479213,125.6712126802,44.5458634872,125.6775158714,44.551763,125.68409,吉林省长春市德惠市德环路,-,德惠西站
44.6565360859,125.8156023262,44.658486191,125.821900153,44.664125,125.828517,吉林省长春市德惠市X025,-,达家沟站
0,0,0,0,0,0,-,-,东津站
0,0,0,0,0,0,-,-,杜家站
39.6037280364,117.2581660894,39.6049308323,117.2645014671,39.611006,117.270991,天津市宝坻区,-,大口屯站
0,0,0,0,0,0,-,-,东来站
37.314712733,97.3829077126,37.3151778002,97.3837284686,37.320887,97.390332,青海省海西蒙古族藏族自治州德令哈市双拥路,-,德令哈站
23.1510212657,113.2401540369,23.1483577062,113.245480904,23.154273,113.25199,广东省广州市荔湾区站西路12号4层,-,大陆号站
47.0213394505,129.0134542207,47.0236031812,129.0208034734,47.029672,129.027303,黑龙江省伊春市带岭区迎宾路2,-,带岭站
0,0,0,0,0,0,-,-,大林站
40.4187025202,110.0250719969,40.41991954,110.0309996788,40.42626,110.037387,内蒙古自治区鄂尔多斯市达拉特旗平原大街,-,达拉特旗站
0,0,0,0,0,0,-,-,独立屯站
38.3032967661,112.6948918929,38.3038272076,112.7013721099,38.309912,112.707888,山西省忻州市忻府区G108(京昆线),-,豆罗站
0,0,0,0,0,0,-,-,达拉特西站
0,0,0,0,0,0,-,-,东明村站
0,0,0,0,0,0,-,-,洞庙河站
35.2688916115,115.086548813,35.2686419359,115.0925140458,35.274874,115.098937,山东省菏泽市东明县Y349,-,东明县站
0,0,0,0,0,0,-,-,大拟站
41.4343674767,120.1640921517,41.4365634796,120.169934003,41.442216,120.176561,辽宁省朝阳市朝阳县朝大线,-,大平房站
0,0,0,0,0,0,-,-,大盘石站
0,0,0,0,0,0,-,-,大埔站
0,0,0,0,0,0,-,-,大堡站
46.5312355282,125.11612073,46.5333317393,125.1231695753,46.53926,125.129666,黑龙江省大庆市龙凤区凤一路,-,大庆东站
0,0,0,0,0,0,-,-,大其拉哈站
0,0,0,0,0,0,-,-,道清站
0,0,0,0,0,0,-,-,对青山站
30.5379725723,119.9535857089,30.5354314086,119.9581669219,30.541185,119.964754,浙江省湖州市德清县永安街1号,-,德清西站
46.655025147,124.8795414445,46.6567963629,124.885989475,46.662711,124.892494,黑龙江省大庆市让胡路区中三路,-,大庆西站
0,0,0,0,0,0,-,-,东升站
34.4180541449,116.3247165478,34.4169212872,116.3302258051,34.422586,116.336828,安徽省宿州市砀山县中原路,-,砀山站
0,0,0,0,0,0,-,-,独山站
39.2214735277,122.0638810068,39.2227826374,122.0691274076,39.228695,122.075662,辽宁省大连市金州区同心街,-,登沙河站
24.9493419375,102.5542820186,24.9462582558,102.5555533857,24.951996,102.562099,云南省昆明市安宁市G320(安石公路),-,读书铺站
0,0,0,0,0,0,-,-,大石头站
39.7231125039,109.8716711263,39.7240161324,109.8772232989,39.729786,109.883798,内蒙古自治区鄂尔多斯市东胜区汇丰大街,-,东胜西站
0,0,0,0,0,0,-,-,大石寨站
32.8759987776,120.3392951498,32.8742507859,120.344058753,32.880511,120.350505,江苏省盐城市东台市站前路,-,东台站
35.0656276103,115.5899698513,35.0648152621,115.5954898375,35.070719,115.602039,山东省菏泽市定陶县济阴路,-,定陶站
0,0,0,0,0,0,-,-,灯塔站
0,0,0,0,0,0,-,-,大田边站
0,0,0,0,0,0,-,-,东通化站
0,0,0,0,0,0,-,-,丹徒站
0,0,0,0,0,0,-,-,大屯站
0,0,0,0,0,0,-,-,东湾站
39.027106199,106.3887666504,39.0279772549,106.3934927027,39.033758,106.400096,宁夏回族自治区石嘴山市大武口区长城路,-,大武口站
0,0,0,0,0,0,-,-,低窝铺站
22.6135602755,108.2806667001,22.6106832696,108.2845827253,22.616468,108.291136,广西壮族自治区南宁市江南区,-,大王滩站
26.0052667845,101.8200575831,26.001920896,101.8215327981,26.007611,101.828089,云南省楚雄彝族自治州元谋县,-,大湾子站
43.4100372355,129.655959331,43.4125117843,129.6628955235,43.418162,129.669514,吉林省延边朝鲜族自治州汪清县S202(老松线),-,大兴沟站
0,0,0,0,0,0,-,-,大兴站
35.5925155284,104.6224789576,35.5919789566,104.6251397089,35.598168,104.631567,甘肃省定西市安定区交通路,-,定西站
0,0,0,0,0,0,-,-,甸心站
28.2315520971,116.6214078948,28.2280687187,116.6260749385,28.234324,116.632554,江西省抚州市东乡县迎宾大道,-,东乡站
0,0,0,0,0,0,-,-,代县站
38.478617182,112.9538954165,38.4790875788,112.9603970912,38.484846,112.966999,山西省忻州市定襄县忻阜路138号,-,定襄站
0,0,0,0,0,0,-,-,东戌站
0,0,0,0,0,0,-,-,东辛庄站
32.0041128043,119.5883260585,32.0019202621,119.5932666875,32.007663,119.599818,江苏省镇江市丹阳市S241(迎宾路),-,丹阳站
31.1680772939,104.3873842914,31.1659658769,104.3900665004,31.172247,104.39646,四川省德阳市旌阳区银山北路,-,德阳站
0,0,0,0,0,0,-,-,大雁站
